Rk,Season,Team,Lg,bWAR,GP,W,L,WL%,Bat#,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,LOB,R/Gm,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,pWAR,ERA,G,CG,SHO,SV,IP,H,RA,ER,pHR,pBB,pIBB,pSO,pHBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA
15,2021,LAD,NL,25.8,162,106,56,0.654,61,6239,5445,830,1330,822,247,24,237,799,65,17,613,1408,0.244,0.33,0.429,0.759,101,2336,96,104,32,45,36,1169,5.1,25.8,5.9,26.8,-1.1,21,1,-3,-2,-4,29.3,3.03,162,1,0,56,1452,1107,561,489,161,486,43,1599,52,9,52,5948,140,3.52,1.097,6.9,1,3,9.9,3.29,29.3,16.2
16,2021,MIL,NL,19.6,162,95,67,0.586,61,6099,5362,738,1251,784,255,18,194,700,82,21,586,1465,0.233,0.317,0.396,0.713,92,2124,102,88,25,35,26,1113,4.6,19.6,0,17.2,2.5,-69,1,0,1,29,23,3.5,162,2,1,44,1436,1156,623,558,168,537,19,1618,60,9,60,5990,120,3.68,1.179,7.2,1.1,3.4,10.1,3.01,23,9.4
17,2021,MIN,AL,24.1,162,73,89,0.451,43,6078,5431,729,1311,795,271,17,228,690,54,15,525,1405,0.241,0.314,0.423,0.738,103,2300,122,70,7,42,17,1092,4.5,24.1,4,22.2,1.9,18,-2,3,0,15,-0.1,4.83,162,1,0,42,1419.1,1392,834,762,239,484,13,1317,48,3,48,6080,89,4.63,1.322,8.8,1.5,3.1,8.4,2.72,-0.1,-11.9
18,2021,NYM,NL,17.8,162,77,85,0.475,64,5856,5210,636,1243,821,228,18,176,604,54,26,495,1392,0.239,0.315,0.391,0.705,93,2035,123,94,34,23,25,1099,3.9,17.8,-1.1,18.1,-0.2,-36,-2,-11,-13,3,13.1,3.9,162,2,1,41,1379.1,1221,668,597,190,475,21,1453,53,1,53,5785,104,4,1.23,8,1.2,3.1,9.5,3.06,13.1,0.5
19,2021,NYY,AL,13.2,162,92,70,0.568,47,6060,5331,711,1266,819,213,12,222,666,63,18,621,1482,0.237,0.322,0.407,0.729,100,2169,154,63,10,34,14,1097,4.4,13.2,-6.7,18,-4.5,-2,-16,-5,-21,-50,27.8,3.76,162,3,2,47,1435,1243,669,600,196,492,10,1569,85,8,85,5999,115,3.97,1.209,7.8,1.2,3.1,9.8,3.19,27.8,14.6
20,2021,OAK,AL,23,162,86,76,0.531,42,6104,5395,743,1284,795,271,19,199,698,88,20,545,1349,0.238,0.317,0.406,0.723,102,2190,99,98,17,49,17,1084,4.6,23,3,24,-1.3,28,3,8,12,-14,16,4.02,162,3,3,39,1432.2,1362,687,640,191,439,11,1332,63,2,63,6060,103,4.09,1.257,8.6,1.2,2.8,8.4,3.03,16,3.6
21,2021,PHI,NL,15.1,162,82,80,0.506,55,6089,5366,734,1288,804,262,24,198,700,77,19,564,1402,0.24,0.318,0.408,0.726,95,2192,103,67,47,43,37,1115,4.5,15.1,-4.4,21.7,-6.4,-35,3,10,13,-58,18.9,4.39,162,5,4,36,1418.2,1321,745,692,200,509,37,1480,49,5,49,6055,96,4.1,1.29,8.4,1.3,3.2,9.4,2.91,18.9,6.5
22,2021,PIT,NL,8.4,162,61,101,0.377,64,5983,5336,609,1261,862,240,35,124,570,60,30,529,1328,0.236,0.309,0.364,0.673,81,1943,102,49,31,37,24,1128,3.8,8.4,-10.9,9.3,-0.7,-131,7,-11,-4,-4,4.3,5.08,162,0,0,25,1396.1,1400,833,788,213,606,26,1312,55,5,55,6140,85,4.69,1.437,9,1.4,3.9,8.5,2.17,4.3,-8.4
23,2021,SDP,NL,26.4,162,79,83,0.488,54,6119,5384,729,1305,831,273,21,180,695,110,39,586,1324,0.242,0.321,0.401,0.722,101,2160,121,61,36,46,42,1123,4.5,26.4,6.6,25.6,1.1,10,0,8,8,14,9.8,4.1,162,2,2,43,1430,1277,708,651,205,516,33,1517,57,2,57,6056,95,4.11,1.254,8,1.3,3.2,9.5,2.94,9.8,-2
24,2021,SEA,AL,14,162,90,72,0.556,50,6010,5355,697,1209,766,233,11,199,673,64,24,535,1492,0.226,0.303,0.385,0.688,92,2061,92,72,9,36,8,1040,4.3,14,-5.8,13.9,0,-50,3,-14,-11,-3,13.6,4.3,162,1,0,51,1440.1,1356,748,688,197,485,23,1328,58,3,58,6106,97,4.24,1.278,8.5,1.2,3,8.3,2.74,13.6,0
25,2021,SFG,NL,28.7,162,107,55,0.66,54,6196,5462,804,1360,823,271,25,241,768,66,14,602,1461,0.249,0.329,0.44,0.769,107,2404,117,64,36,30,45,1138,5,28.7,8.7,29.7,-1.4,56,-2,2,0,-4,25.9,3.25,162,2,2,56,1455,1254,594,525,151,416,20,1425,44,7,44,6002,127,3.51,1.148,7.8,0.9,2.6,8.8,3.43,25.9,13.2
26,2021,STL,NL,32.2,162,90,72,0.556,51,6001,5351,706,1303,822,261,22,198,678,89,22,478,1341,0.244,0.313,0.412,0.725,99,2202,99,86,40,44,32,1081,4.4,32.2,13,26,6.5,12,0,10,10,67,6.8,4,162,3,1,50,1416.2,1234,672,629,152,608,30,1225,66,4,66,6046,99,4.26,1.3,7.8,1,3.9,7.8,2.01,6.8,-5.7
27,2021,TBR,AL,37,162,100,62,0.617,43,6213,5507,857,1336,790,288,36,222,810,88,42,585,1542,0.243,0.321,0.429,0.75,111,2362,75,72,6,41,27,1085,5.3,37,16.6,32.3,4.6,104,8,4,13,43,12.7,3.67,162,1,0,42,1455.2,1264,651,594,184,436,27,1478,64,6,64,5998,110,3.81,1.168,7.8,1.1,2.7,9.1,3.39,12.7,-0.3
28,2021,TEX,AL,15.7,162,60,102,0.37,45,5943,5405,625,1254,838,225,24,167,598,106,29,433,1381,0.232,0.294,0.375,0.67,82,2028,113,58,16,31,10,1007,3.9,15.7,-4,8.6,7.2,-121,3,5,7,67,-0.3,4.8,162,0,0,31,1424.1,1402,815,760,232,513,11,1239,67,0,67,6103,93,4.77,1.344,8.9,1.5,3.2,7.8,2.42,-0.3,-12.5
29,2021,TOR,AL,32.7,162,91,71,0.562,46,6070,5476,846,1455,895,285,13,262,816,81,20,496,1218,0.266,0.33,0.466,0.797,113,2552,112,51,10,35,14,1056,5.2,32.7,12.8,30.2,2.3,105,1,-2,-1,21,19.7,3.91,162,1,1,34,1405.1,1257,663,610,209,473,10,1468,54,4,54,5916,115,4.14,1.231,8.1,1.3,3,9.4,3.1,19.7,7.8
30,2021,WSN,NL,27.2,162,65,97,0.401,60,6113,5385,724,1388,914,272,20,182,686,56,26,573,1303,0.258,0.337,0.417,0.754,108,2246,158,84,38,31,43,1185,4.5,27.2,7.7,28,-0.5,64,-8,-17,-25,-1,-1.6,4.82,162,1,0,36,1394.2,1364,820,747,247,548,46,1346,43,1,43,6073,84,4.81,1.371,8.8,1.6,3.5,8.7,2.46,-1.6,-13
